parameter,value,policy,outcome,n,baseline_mean,policy_mean,mean_diff,sd_diff,se_diff,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,t_stat,p_value,arm_correlation,variance_reduction_factor,seeds_same_direction
beta_institutional,100.0,waiting_period,homeownership_rate,15,0.5197063261916994,0.5022181456495775,-0.017488180542121912,0.016001413443321153,0.00413154718545082,-0.0263494679459811,-0.008626893138262724,-0.025474172657893035,-0.009795994542940143,-4.232840569679628,0.000835503766006357,0.7672904489032468,4.285042728128091,13
beta_institutional,100.0,ownership_cap_soft,homeownership_rate,15,0.5197063261916994,0.5213200847635705,0.0016137585718709823,0.017914108079277374,0.004625402816880067,-0.008306743816030896,0.011534260959772861,-0.007014532161706497,0.010458500007989079,0.34889038549933193,0.7323631161967284,0.6912190181373808,3.1902336939558076,9
beta_institutional,100.0,ownership_cap_hard,homeownership_rate,15,0.5197063261916994,0.5305160644348523,0.010809738243152837,0.013186393122232621,0.003404712063930064,0.0035073571322424843,0.01811211935406319,0.00438739646078554,0.017242359287190565,3.1749346318217406,0.00674867360406411,0.8341538565092343,5.640417230174844,10
beta_institutional,100.0,purchase_tax,homeownership_rate,15,0.5197063261916994,0.5240954203999705,0.004389094208271064,0.009329691406595095,0.0024089159628664838,-0.0007775166811976693,0.009555705097739797,6.136353341482483e-05,0.009256336867304003,1.8220204755703773,0.08988020519082224,0.92702292760517,10.963997240983277,7
beta_institutional,100.0,vacancy_tax,homeownership_rate,15,0.5197063261916994,0.5206955019621983,0.0009891757704988586,0.013811919201558031,0.0035662222031197796,-0.006659610136909347,0.008637961677907065,-0.0056524966707190505,0.0075602249560659555,0.27737356624427784,0.7855469654744817,0.8161565469754427,4.973733723298107,8
beta_institutional,100.0,portfolio_tax,homeownership_rate,15,0.5197063261916994,0.520844126761366,0.0011378005696665954,0.014308133680269652,0.0036943442305995863,-0.006785779756709339,0.00906138089604253,-0.005688890761272067,0.008344928464455382,0.3079844482932583,0.762628684513337,0.8019439611264947,4.419954407060628,9
beta_institutional,100.0,waiting_period,ftb_purchase_share,15,0.33186857445501966,0.2589277672831003,-0.07294080717191938,0.03279539212489837,0.00846773383547155,-0.09110228997906993,-0.05477932436476883,-0.08992033044382161,-0.05720586938632013,-8.613970229717012,5.73142803105784e-07,0.42230658598022724,1.6964686903059165,15
beta_institutional,100.0,ownership_cap_soft,ftb_purchase_share,15,0.33186857445501966,0.33816077549372303,0.00629220103870336,0.03565157777342782,0.00920519779883363,-0.013450984659885278,0.026035386737292,-0.010472431520947281,0.02223371777066898,0.6835487054390761,0.5054166796640268,0.4012716874478577,1.668031292246625,8
beta_institutional,100.0,ownership_cap_hard,ftb_purchase_share,15,0.33186857445501966,0.3173162658153256,-0.014552308639693994,0.031318604473075606,0.008086428903378596,-0.03189597370445417,0.0027913564250661837,-0.030698093757587384,0.00026343613126682394,-1.7995964366438546,0.093506710961549,0.5845477271204295,2.4036404834971514,9
beta_institutional,100.0,purchase_tax,ftb_purchase_share,15,0.33186857445501966,0.338034582259034,0.006166007804014373,0.03050997888563125,0.007877642674479317,-0.010729855336382071,0.02306187094441082,-0.00917704993155562,0.02092626956932278,0.7827224537601819,0.4468285149013032,0.6545082855825082,2.8361618115022758,7
beta_institutional,100.0,vacancy_tax,ftb_purchase_share,15,0.33186857445501966,0.3301902710569885,-0.001678303398031163,0.04541387330376735,0.01172581166615097,-0.026827668164623047,0.02347106136856072,-0.025042335131381245,0.019630722171047294,-0.14312897442110042,0.8882279543372378,0.2670577900347389,1.3549816957173104,9
beta_institutional,100.0,portfolio_tax,ftb_purchase_share,15,0.33186857445501966,0.32997049462954436,-0.001898079825475326,0.03063482519502111,0.00790987785295281,-0.018863080547544375,0.015066920896593722,-0.015854884649655107,0.01360143646614121,-0.23996322835336326,0.8138366608916364,0.6532552068901646,2.823714585035882,9
beta_institutional,100.0,waiting_period,rental_vacancy_rate,15,0.05110599073009344,0.06193465692061188,0.010828666190518449,0.006079410522965343,0.0015696970473468598,0.007462000859305021,0.014195331521731877,0.008214714846634597,0.014092547000000632,6.898570783974732,7.340875717281833e-06,0.8545783386665653,6.564199535001701,15
beta_institutional,100.0,ownership_cap_soft,rental_vacancy_rate,15,0.05110599073009344,0.05300365948454042,0.0018976687544469853,0.006766027827562912,0.0017469808730751404,-0.0018492325661715985,0.005644570075065569,-0.0010695479349225997,0.005546257275623259,1.086256171257671,0.2957155209065168,0.8158849568549899,4.863312588184008,10
beta_institutional,100.0,ownership_cap_hard,rental_vacancy_rate,15,0.05110599073009344,0.0449278215875427,-0.006178169142550738,0.005985135834120971,0.0015453554273559837,-0.00949262689124538,-0.002863711393856096,-0.009150349557860524,-0.003184423482307604,-3.99789526291776,0.001321492396160137,0.8662112949297758,7.461791470943242,12
